0,1,2,3
1,Процессы и методологии разработки решений на основе ИИ,3,108
1,Прикладной анализ временных рядов,3,108
1,Алгоритмы и структуры данных,3,108
1,Программирование на С++,3,108
1,Обработка и генерация изображений,3,108
1,Инструменты разработки data-driven решений,3,108
1,UNIX/Linux системы,3,108
1,Контейнеризация и оркестрация приложений,3,108
1,Продуктовые исследования,3,108
1,Введение в большие языковые модели (LLM),3,108
1,Математика для машинного обучения и анализа данных,3,108
1,Бизнес-аналитика для инженеров,3,108
1,Инжиниринг управления данными,3,108
1,Основы глубокого обучения,3,108
1,Практика применения машинного обучения,6,216
1,Разработка веб-приложений (Python Backend),6,216
1,Проектирование систем машинного обучения (ML System Design),6,216
1,Проектирование микросервисов,6,216
1,Базы данных,3,108
1,Технологии обработки естественного языка,6,216
1,Проектирование и разработка рекомендательных систем (продвинутый уровень),6,216
1,Вычисления на графических процессорах (GPU),6,216
1,Создание интеллектуальных агентов,6,216
1,Языки программирования,3,108
1,Основы машинного обучения,3,108
1,Инженерные практики в ML и анализе данных,6,216
1,Дополнительные разделы машинного обучения,3,108
,Пул выборных дисциплин. 2 семестр,12,432
2,Продвинутое МО (Python) и Автоматическая обработка текстов,3,108
2,Продвинутое МО (Python) и Обработка изображений,3,108
2,Автоматическая обработка текстов и Обработка изображений,3,108
2,Автоматическая обработка текстов и Социальные сети,3,108
2,Обработка изображений и Компьютерное зрение,3,108
2,Методология трансляционных исследований,3,108
2,Управление проектами в Data Science,3,108
2,Специальные главы биоинформатики,3,108
2,Специальные главы геномики,3,108
2,Прикладная математика и статистика / Applied Math and Statistics,6,216
2,DevOps практики и инструменты,3,108
2,Практики менторства и развития в Data Science,3,108
2,Управление данными,3,108
2,Сбор и разметка данных для машинного обучения,3,108
2,Разработка приложений разговорного искусственного интеллекта,3,108
2,Бизнес-анализ,3,108
2,Программирование на Python (продвинутый уровень),3,108
2,Информационный поиск,3,108
2,Распознавание и генерация речи,3,108
2,Продуктовый дизайн и прототипирование AI-решений,3,108
2,Технологии компьютерного зрения,3,108
2,Нейросети в химии / Neural Networks in Chemistry,3,108
2,А/В тестирование,3,108
2,Управление технологическим продуктом,3,108
2,Безопасность ИИ,3,108
2,Дополнительные разделы математики и алгоритмов,3,108
2,Проектирование систем машинного обучения (ML System Design),6,216
