0,1,2,3
2,Глубокое обучение на практике,6,216
2,Глубокие генеративные модели (Deep Generative Models),6,216
2,Технологии и практики MLOps,6,216
2,Обучение с подкреплением,6,216
2,Компьютерное зрение (продвинутый уровень),6,216
2,Основы построения рекомендательных систем,6,216
2,Системы обработки и анализа больших массивов данных,6,216
2,Технологии обработки естественного языка,6,216
2,Воркшоп по прикладному использованию языковых и генеративных моделей,6,216
2,Интеллектуальные агенты и большие языковые модели,6,216
2,Инженерия данных,3,108
2,Языки программирования для работы с данными,3,108
2,Машинное обучение,3,108
2,Обработка естественного языка,6,216
2,Задачи машинного обучения,3,108
,Пул выборных дисциплин. 3 семестр,12,432
3,Хранение больших данных и Введение в МО (Python),3,108
3,Введение в МО (Python) и Продвинутое МО (Python),3,108
3,Продвинутое МО (Python) и Глубокое обучение,3,108
3,Автоматическое машинное обучение,3,108
3,Бизнес-аналитика,3,108
3,Математическая статистика,3,108
3,Графические интерфейсы,3,108
3,Процессы и методологии разработки решений на основе ИИ,3,108
3,Прикладной анализ временных рядов,3,108
3,Алгоритмы и структуры данных,3,108
3,Программирование на С++,3,108
3,Обработка и генерация изображений,3,108
3,Инструменты разработки data-driven решений,3,108
3,UNIX/Linux системы,3,108
3,Контейнеризация и оркестрация приложений,3,108
3,Продуктовые исследования,3,108
3,Введение в большие языковые модели (LLM),3,108
3,Инжиниринг управления данными,3,108
3,Прикладная математика для машинного обучения,3,108
3,Разработка веб-приложений (Python Backend),6,216
3,Глубокое обучение,3,108
3,Проектирование систем машинного обучения (ML System Design),6,216
3,Проектирование микросервисов,6,216
3,Прикладные инструменты разработки,6,216
3,Базы данных,3,108
3,Технологии обработки естественного языка,6,216
3,Мультимодальные генеративные модели искусственного интеллекта,3,108
3,Проектирование и разработка рекомендательных систем (продвинутый уровень),6,216
3,Вычисления на графических процессорах (GPU),6,216
3,Воркшоп по применению ИИ,6,216
3,Мастерская по проектам для работы с данными,6,216
3,Языки программирования. Продвинутый уровень,3,108
3,Продвинутое машинное обучение,3,108
3,Прикладные задачи машинного обучения,3,108
,Пул выборных дисциплин. 4 семестр,6,216
4,Продвинутое МО (Python) и Автоматическая обработка текстов,3,108
4,Продвинутое МО (Python) и Обработка изображений,3,108
4,Автоматическая обработка текстов и Обработка изображений,3,108
4,Автоматическая обработка текстов и Социальные сети,3,108
