0,1,2,3
4,Обработка изображений и Компьютерное зрение,3,108
4,Методология трансляционных исследований,3,108
4,Управление проектами в Data Science,3,108
4,Специальные главы биоинформатики,3,108
4,Специальные главы геномики,3,108
4,Прикладная математика и статистика / Applied Math and Statistics,6,216
4,DevOps практики и инструменты,3,108
4,Практики менторства и развития в Data Science,3,108
4,Управление данными,3,108
4,Сбор и разметка данных для машинного обучения,3,108
4,Разработка приложений разговорного искусственного интеллекта,3,108
4,Бизнес-анализ,3,108
4,Программирование на Python (продвинутый уровень),3,108
4,Информационный поиск,3,108
4,Распознавание и генерация речи,3,108
4,Продуктовый дизайн и прототипирование AI-решений,3,108
4,Технологии компьютерного зрения,3,108
4,Нейросети в химии / Neural Networks in Chemistry,3,108
4,А/В тестирование,3,108
4,Управление технологическим продуктом,3,108
4,Безопасность ИИ,3,108
4,Дополнительные разделы математики и алгоритмов,3,108
4,Проектирование систем машинного обучения (ML System Design),6,216
4,Глубокие генеративные модели (Deep Generative Models),6,216
4,Технологии и практики MLOps,6,216
4,Обучение с подкреплением,6,216
4,Компьютерное зрение (продвинутый уровень),6,216
4,Основы построения рекомендательных систем,6,216
4,Системы обработки и анализа больших массивов данных,6,216
4,Технологии обработки естественного языка,6,216
4,Воркшоп по прикладному использованию языковых и генеративных моделей,6,216
4,Воркшоп по ML,6,216
4,Интеллектуальные агенты и большие языковые модели,6,216
4,Инженерия данных,3,108
4,Языки программирования для работы с данными. Продвинутый уровень,3,108
4,Продвинутое машинное обучение - дополнительные главы,3,108
4,Применение машинного обучения в доменных областях,3,108
4,Глубокое обучение и обработка естественного языка,6,216
,Блок 2. Практика,54,1944
,Обязательная проектная практика,18,648
1,Проектная практика,12,432
4,"Производственная, преддипломная практика",6,216
,Практика по выбору. 2 семестр,12,432
2,Проектная практика,12,432
2,Научно-исследовательская практика,12,432
,Практика по выбору. 3 семестр,12,432
3,Производственная проектно-технологическая практика,12,432
3,"Производственная, научно-исследовательская практика",12,432
,Практика по выбору. 4 семестр,12,432
4,Научно-исследовательская работа,12,432
4,Проектная работа,12,432
,Блок 3. ГИА,6,216
,Государственная итоговая аттестация,6,216
4,Подготовка к защите и защита ВКР,6,216
,Блок 4. Факультативные модули (дисциплины),0,0
