0,1,2,3
,Иностранный язык в профессиональной деятельности (аспирантский трек),4,144
3,Иностранный язык в профессиональной деятельности / Foreign Language for Professional activity,4,144
,Инклюзивный факультатив,0,0
1,Регуляция эмоционального состояния в профессиональной деятельности,3,108
,"Элективные микромодули Soft Skills (1-3 семестры, онлайн)",0,0
"1, 2, 3",Основы финансовой грамотности,1,36
"1, 2, 3",Целеполагание в современном мире,1,36
"1, 2, 3",Управление стрессом и профилактика выгорания,1,36
"1, 2, 3",Управление мотивацией,1,36
"1, 2, 3",Тайм-менеджмент,1,36
"1, 2, 3",Сложная коммуникация,1,36
"1, 2, 3",Управление конфликтами,1,36
"1, 2, 3",Современная бизнес-коммуникация,1,36
"1, 2, 3",Межкультурная коммуникация,1,36
"1, 2, 3",Современное лидерство,1,36
"1, 2, 3",Практики совместной работы и принятия решений,1,36
"1, 2, 3",Работа в удаленных командах,1,36
"1, 2, 3",Сторителлинг,1,36
"1, 2, 3",Самопрезентация и питчинг,1,36
"1, 2, 3",Выступления для молодых ученых,1,36
"1, 2, 3",Стратегии эффективных переговоров с работодателем,1,36
"1, 2, 3",Развитие карьеры в современной профессиональной среде,1,36
"1, 2, 3",Карьера в IT,1,36
"1, 2, 3",Медиация и урегулирование разногласий / Mediation and dispute resolutio,1,36
"1, 2, 3",Инструменты принятия решений / Art & math of decision making,1,36
"1, 2, 3",Управление стрессом / Stress management,1,36
"1, 2, 3",Эмпатия и ненасильственное общение / Empathy and non-violent communication,1,36
"1, 2, 3",Публичные выступления в профессиональной деятельности / Pitches and speeches,1,36
"1, 2, 3",Доказательный подход к управлению карьерой / Evidence-based approach to career management,1,36
"1, 2, 3",Планирование и изменение карьерной траектории / Launching and relaunching your career,1,36
"1, 2, 3",Основы публичных выступлений,1,36
"1, 2, 3",Публичные выступления в онлайн-формате,1,36
"1, 2, 3",Техники ответов на вопросы в публичных выступлениях,1,36
