0,1,2,3
"Учебный план
ОП Управление ИИ-продуктами/AI Product",,,
"атратс
ыртсемеС","Наименование модулей, дисциплин, практики и аттестации","де.з
в
ьтсокмеодурТ",".сач
в
ьтсокмеодурТ"
,Блок 1. Модули (дисциплины),72,2592
,"Индивидуальная профессиональная подготовка (по профессиональным областям, по
профессиональным ролям, по уровню сложности и др.)",60,2160
,Обязательные дисциплины. 1 семестр,6,216
1,Продуктовые исследования,3,108
1,Воркшоп по созданию продукта на данных / Data Product Development Workshop,3,108
,Пул выборных дисциплин. 1 семестр,12,432
1,Процессы и методологии разработки решений на основе ИИ,3,108
1,Монетизация ИИ-продуктов,3,108
1,Стратегический продуктовый менеджмент,3,108
1,Продуктовый дизайн и прототипирование AI-решений,3,108
1,Математика для машинного обучения и анализа данных,3,108
1,Математическая статистика,3,108
1,Основы программирования на Python,3,108
1,Основы машинного обучения,3,108
1,Основы глубокого обучения,3,108
1,Введение в большие языковые модели (LLM),3,108
1,Прикладной анализ временных рядов,3,108
1,Инженерные практики в ML и анализе данных,6,216
1,Прикладные инструменты разработки,6,216
1,Разработка веб-приложений (Python Backend),6,216
1,Проектирование микросервисов,6,216
,Пул выборных дисциплин. 2 семестр,12,432
2,Бизнес-анализ,3,108
2,Практики менторства и развития в Data Science,3,108
2,Управление проектами в Data Science,3,108
2,Метрики и аналитика продукта,3,108
2,Управление продуктовым портфелем,3,108
2,Основы маркетинга для ИИ-продуктов,3,108
2,Управление командами и проектами в ИИ,3,108
2,Фандрайзинг и бизнес-планирование,3,108
2,Инженерия данных,3,108
2,Программирование на Python (продвинутый уровень),3,108
2,Прикладные задачи машинного обучения,3,108
2,Данные в финансовом секторе,3,108
2,Финансовые технологии,3,108
2,Глубокое обучение на практике,6,216
2,Проектирование систем машинного обучения (ML System Design),6,216
,Прикладные задачи машинного обучения. 2 семестр,6,216
2,Обработка естественного языка,6,216
2,Интеллектуальные агенты и большие языковые модели,6,216
2,Воркшоп по прикладному использованию языковых и генеративных моделей,6,216
2,Основы построения рекомендательных систем,6,216
2,Технологии компьютерного зрения,6,216
,Пул выборных дисциплин. 3 семестр,15,540
